Steps (m),MeanDistance (d),Square root of Steps (m),Log (m),Log (d)
2,1.230236724,1.414213562,1,0.298935947
4,1.763377143,2,2,0.818341065
6,2.131961305,2.449489743,2.584962501,1.092181253
8,2.566260218,2.828427125,3,1.359667467
10,2.784272756,3.16227766,3.321928095,1.477300549
12,3.050860958,3.464101615,3.584962501,1.609216431
14,3.184153597,3.741657387,3.807354922,1.67090993
16,3.44254804,4,4,1.783476787
18,3.685997359,4.242640687,4.169925001,1.882055037
20,3.943273099,4.472135955,4.321928095,1.979393631
22,4.232021793,4.69041576,4.459431619,2.081347057
24,4.361550419,4.898979486,4.584962501,2.124841067
26,4.579028513,5.099019514,4.700439718,2.195041549
28,4.55289845,5.291502622,4.807354922,2.186785281
30,4.826798629,5.477225575,4.906890596,2.27106664
32,4.981898636,5.656854249,5,2.316695668
34,5.227789445,5.830951895,5.087462841,2.386201036
36,5.364589942,6,5.169925001,2.423467898
38,5.591783592,6.164414003,5.247927513,2.483308528
40,5.480339316,6.32455532,5.321928095,2.45426522
42,5.748408508,6.480740698,5.392317423,2.52316259
44,5.913679037,6.633249581,5.459431619,2.564055944
46,6.024484426,6.782329983,5.523561956,2.590837781
48,6.168704598,6.92820323,5.584962501,2.624967561
50,6.462275315,7.071067812,5.64385619,2.692042216
52,6.421507778,7.211102551,5.700439718,2.682912084
54,6.298125191,7.348469228,5.754887502,2.654922435
56,6.713643179,7.483314774,5.807354922,2.747095862
58,6.65837741,7.615773106,5.857980995,2.735170648
60,6.715222952,7.745966692,5.906890596,2.747435299
62,6.867865257,7.874007874,5.95419631,2.779861735
64,6.963234332,8,6,2.799757575
66,7.261523712,8.124038405,6.044394119,2.860272306
68,7.181413179,8.246211251,6.087462841,2.84426777
70,7.528197129,8.366600265,6.129283017,2.912304406
72,7.642104118,8.485281374,6.169925001,2.933969913
74,7.632228256,8.602325267,6.209453366,2.932104318
76,7.770438886,8.717797887,6.247927513,2.957996086
78,7.796547526,8.831760866,6.285402219,2.96283541
80,7.899083667,8.94427191,6.321928095,2.981685303
82,7.954874218,9.055385138,6.357552005,2.991839119
84,8.164922847,9.16515139,6.392317423,3.029439253
86,8.218565548,9.273618495,6.426264755,3.038886611
88,8.201217149,9.38083152,6.459431619,3.035838037
90,8.658882174,9.486832981,6.491853096,3.114180791
92,8.51382198,9.591663047,6.523561956,3.089806924
94,8.545946269,9.695359715,6.554588852,3.095240246
96,9.018868412,9.797958971,6.584962501,3.172946431
98,8.906216538,9.899494937,6.614709844,3.154812689
100,8.926091866,10,6.64385619,3.158028655
102,8.932726728,10.09950494,6.672425342,3.159100627
104,9.084075379,10.19803903,6.700439718,3.183339677
106,9.121072227,10.29563014,6.727920455,3.18920343
108,9.353781415,10.39230485,6.754887502,3.225549715
110,9.367499924,10.48808848,6.781359714,3.227664061
112,9.346258578,10.58300524,6.807354922,3.224388952
114,9.603426977,10.67707825,6.832890014,3.263549322
116,9.74566659,10.77032961,6.857980995,3.284760867
118,9.74071917,10.86278049,6.882643049,3.284028292
120,9.733984532,10.95445115,6.906890596,3.283030482
122,9.779782712,11.04536102,6.930737338,3.289802412
124,9.700314694,11.13552873,6.95419631,3.278031551
126,9.80060315,11.22497216,6.977279923,3.292870539
128,9.944487812,11.3137085,7,3.313897067
130,10.11333439,11.40175425,7.022367813,3.338186831
132,10.07285741,11.48912529,7.044394119,3.332401091
134,9.997985945,11.5758369,7.06608919,3.321637499
136,10.56329012,11.66190379,7.087462841,3.400987352
138,10.21670634,11.74734012,7.108524457,3.352858271
140,10.53385629,11.83215957,7.129283017,3.396961778
142,10.4270585,11.91637529,7.14974712,3.382260323
144,10.48014529,12,7.169925001,3.389586813
146,10.67015522,12.08304597,7.189824559,3.415509258
148,10.6270312,12.16552506,7.209453366,3.409666713
150,10.54745691,12.24744871,7.22881869,3.398823289
152,11.12998509,12.32882801,7.247927513,3.476379756
154,10.88381592,12.40967365,7.266786541,3.444112556
156,11.35784191,12.489996,7.285402219,3.505616831
158,11.22139301,12.56980509,7.303780748,3.488179877
160,11.22712896,12.64911064,7.321928095,3.488917139
162,11.10754452,12.72792206,7.339850003,3.473468019
164,11.28025566,12.80624847,7.357552005,3.49572786
166,11.66154952,12.88409873,7.375039431,3.543687593
168,11.37813854,12.9614814,7.392317423,3.508192648
170,11.64969454,13.03840481,7.409390936,3.542220222
172,11.62709687,13.11487705,7.426264755,3.539419015
174,11.57410131,13.19090596,7.442943496,3.532828272
176,11.81213002,13.26649916,7.459431619,3.562197237
178,11.66182287,13.34166406,7.475733431,3.54372141
180,11.80098875,13.41640786,7.491853096,3.560835836
182,11.91860963,13.49073756,7.50779464,3.575144042
184,11.74222693,13.56465997,7.523561956,3.553634138
186,12.10234199,13.6381817,7.539158811,3.597214354
188,12.23484489,13.7113092,7.554588852,3.612923906
190,12.00356217,13.78404875,7.569855608,3.585390697
192,12.18209563,13.85640646,7.584962501,3.60669043
194,12.10462845,13.92838828,7.599912842,3.597486892
196,12.40772487,14,7.614709844,3.633166696
198,11.99894407,14.07124728,7.62935662,3.584835546
200,12.45695066,14.14213562,7.64385619,3.638879049
202,12.56670875,14.2126704,7.658211483,3.651534949
204,12.78332015,14.28285686,7.672425342,3.676190684
206,12.76753126,14.35270009,7.686500527,3.674407686
208,13.15495032,14.4222051,7.700439718,3.717533895
210,12.86378424,14.49137675,7.714245518,3.685243209
212,12.54381634,14.56021978,7.727920455,3.648904437
214,12.62072558,14.62873884,7.741466986,3.657722949
216,12.7908279,14.69693846,7.754887502,3.677037743
218,12.78931712,14.76482306,7.768184325,3.67686733
220,12.90673132,14.83239697,7.781359714,3.690051774
222,12.88725966,14.89966443,7.794415866,3.687873617
224,13.26748288,14.96662955,7.807354922,3.729822782
226,13.43993691,15.03329638,7.820178962,3.748454461
228,13.38520823,15.09966887,7.832890014,3.742567678
230,13.41720472,15.16575089,7.845490051,3.746012233
232,13.42982767,15.23154621,7.857980995,3.747368887
234,13.8264453,15.29705854,7.87036472,3.789358391
236,13.46785365,15.3622915,7.882643049,3.751448044
238,13.54673957,15.42724862,7.894817763,3.75987376
240,13.40895459,15.49193338,7.906890596,3.745124859
242,13.75304349,15.55634919,7.918863237,3.781679011
244,13.55714653,15.62049935,7.930737338,3.760981651
246,13.77155212,15.68438714,7.942514505,3.783619262
248,14.24755913,15.74801575,7.95419631,3.832642875
250,13.70047224,15.8113883,7.965784285,3.776153717
252,14.00133405,15.87450787,7.977279923,3.807492389
254,14.44284296,15.93737745,7.988684687,3.852282848
256,14.15295135,16,8,3.823031028
258,14.48335316,16.0623784,8.011227255,3.856323746
260,14.171366,16.1245155,8.022367813,3.824906923
262,14.18368383,16.18641406,8.033423002,3.826160378
264,14.42497447,16.24807681,8.044394119,3.85049686
266,14.52518331,16.30950643,8.055282436,3.860484466
268,14.34058184,16.37070554,8.06608919,3.842031655
270,14.37509097,16.43167673,8.076815597,3.845499181
272,14.45803265,16.4924225,8.087462841,3.853799349
274,14.53832564,16.55294536,8.098032083,3.86178922
276,15.12032532,16.61324773,8.108524457,3.918417275
278,14.71102646,16.673332,8.118941073,3.878826009
280,14.74018844,16.73320053,8.129283017,3.881683063
282,14.79047332,16.79285562,8.139551352,3.886596317
284,14.76677649,16.85229955,8.14974712,3.884283022
286,15.12148918,16.91153453,8.159871337,3.918528319
288,15.04355425,16.97056275,8.169925001,3.911073559
290,14.95722828,17.02938637,8.17990909,3.902770949
292,15.28954263,17.08800749,8.189824559,3.934473346
294,14.88966169,17.1464282,8.199672345,3.896239069
296,15.223989,17.20465053,8.209453366,3.928274519
298,15.26326555,17.2626765,8.21916852,3.931991752
300,15.56759417,17.32050808,8.22881869,3.960474101
302,14.9989001,17.3781472,8.238404739,3.906784804
304,15.99275511,17.43559577,8.247927513,3.999346591
306,15.71240246,17.49285568,8.257387843,3.973831884
308,15.25708518,17.54992877,8.266786541,3.931407461
310,15.21171159,17.60681686,8.276124405,3.927110586
312,15.72611125,17.66352173,8.285402219,3.97509006
314,15.88414717,17.72004515,8.294620749,3.989515728
316,15.92616802,17.77638883,8.303780748,3.993327278
318,16.13735584,17.8325545,8.312882955,4.012332302
320,15.71684941,17.88854382,8.321928095,3.97424014
322,15.88643929,17.94435844,8.330916878,3.989723897
324,16.1691918,18,8.339850003,4.015175664
326,16.08085303,18.05547009,8.348728154,4.007272033
328,16.10041225,18.11077028,8.357552005,4.009025724
330,16.42106945,18.16590212,8.366322214,4.037476183
332,16.30356916,18.22086716,8.375039431,4.027115927
334,16.39451815,18.27566688,8.383704292,4.035141595
336,16.39711156,18.33030278,8.392317423,4.035369794
338,16.32325079,18.38477631,8.400879436,4.028856495
340,16.40730251,18.43908891,8.409390936,4.036266162
342,16.18779382,18.49324201,8.417852515,4.016834474
344,16.74959493,18.54723699,8.426264755,4.066054301
346,17.02232935,18.60107524,8.434628228,4.089356565
348,16.79119461,18.65475811,8.442943496,4.06963297
350,16.551183,18.70828693,8.451211112,4.048862432
352,16.66813362,18.76166304,8.459431619,4.059020666
354,16.72462986,18.81488772,8.46760555,4.063902377
356,16.92474596,18.86796226,8.475733431,4.081062274
358,17.09550233,18.92088793,8.483815777,4.09554491
360,16.47898421,18.97366596,8.491853096,4.04255541
362,16.64461888,19.02629759,8.499845887,4.056983932
364,16.32636257,19.07878403,8.50779464,4.029131496
366,16.66203118,19.13112647,8.515699838,4.058492378
368,17.20452051,19.18332609,8.523561956,4.10471578
370,16.67900037,19.23538406,8.531381461,4.05996092
372,16.67977723,19.28730152,8.539158811,4.060028116
374,17.22197295,19.33907961,8.54689446,4.106178522
376,17.58403003,19.39071943,8.554588852,4.13619385
378,17.03712632,19.4422221,8.562242424,4.090610109
380,17.34245542,19.49358869,8.569855608,4.116236271
382,17.06864287,19.54482029,8.577428828,4.093276449
384,17.57204282,19.59591794,8.584962501,4.135210015
386,17.91106159,19.6468827,8.592457037,4.162778944
388,17.47617484,19.6977156,8.599912842,4.127317539
390,17.83400683,19.74841766,8.607330314,4.156558969
392,17.41754451,19.79898987,8.614709844,4.122469345
394,17.48066774,19.84943324,8.622051819,4.12768839
396,17.43393899,19.89974874,8.62935662,4.12382666
398,18.00567369,19.94993734,8.636624621,4.170379675
400,18.22360914,20,8.64385619,4.187736805
402,18.14471709,20.04993766,8.651051691,4.181477658
404,18.21430615,20.09975124,8.658211483,4.187000134
406,18.09710164,20.14944168,8.665335917,4.177686754
408,18.29901437,20.19900988,8.672425342,4.193694038
410,17.59476383,20.24845673,8.6794801,4.137074244
412,18.01970195,20.29778313,8.686500527,4.171503244
414,18.30163388,20.34698995,8.693486957,4.193900546
416,17.84325337,20.39607805,8.700439718,4.157306782
418,18.09003912,20.4450483,8.707359132,4.177123623
420,18.37569176,20.49390153,8.714245518,4.199726657
422,18.09911496,20.54263858,8.721099189,4.177847247
424,18.43326212,20.59126028,8.727920455,4.204239501
426,18.75206658,20.63976744,8.73470962,4.228977692
428,18.28319498,20.68816087,8.741466986,4.192446298
430,17.87367729,20.73644135,8.74819285,4.159764576
432,18.32709826,20.78460969,8.754887502,4.195906476
434,18.22713431,20.83266666,8.761551232,4.188015852
436,18.39929197,20.88061302,8.768184325,4.201578346
438,18.64154818,20.92844954,8.77478706,4.220449775
440,18.51396174,20.97617696,8.781359714,4.21054174
442,18.56106959,21.02379604,8.787902559,4.214207943
444,18.98529498,21.07130751,8.794415866,4.24681051
446,18.444769,21.11871208,8.8008999,4.205139816
448,18.83823714,21.16601049,8.807354922,4.23559206
450,18.71551861,21.21320344,8.813781191,4.226163121
452,19.17838837,21.26029163,8.820178962,4.261409585
454,19.29198936,21.30727575,8.826548487,4.269930015
456,18.91510571,21.3541565,8.832890014,4.241466934
458,18.51408483,21.40093456,8.839203788,4.210551332
460,19.4620392,21.44761059,8.845490051,4.282590976
462,18.44055977,21.49418526,8.851749041,4.204810545
464,18.79225056,21.54065923,8.857980995,4.232065949
466,19.25355474,21.58703314,8.864186145,4.267052927
468,19.20391377,21.63330765,8.87036472,4.263328458
470,19.61931761,21.67948339,8.876516947,4.294202958
472,19.4463468,21.72556098,8.882643049,4.28142725
474,19.72265362,21.77154106,8.888743249,4.30178177
476,19.47404288,21.81742423,8.894817763,4.283480519
478,19.04009017,21.86321111,8.900866808,4.250968406
480,19.40246657,21.9089023,8.906890596,4.278168164
482,19.40794901,21.9544984,8.912889336,4.27857576
484,19.18054946,22,8.918863237,4.261572145
486,19.71369807,22.04540769,8.924812504,4.30112653
488,19.39017186,22.09072203,8.930737338,4.277253685
490,19.60290648,22.13594362,8.936637939,4.292995671
492,19.38403959,22.18107301,8.942514505,4.276797351
494,19.50279716,22.22611077,8.948367232,4.28560915
496,20.50557628,22.27105745,8.95419631,4.357944384
498,19.85844482,22.3159136,8.960001932,4.31168074
500,19.92994542,22.36067977,8.965784285,4.316865854
502,19.68539688,22.4053565,8.971543554,4.299053894
504,19.87216608,22.44994432,8.977279923,4.312677231
506,20.01254446,22.49444376,8.982993575,4.322832703
508,19.84507943,22.53885534,8.988684687,4.310709432
510,19.82435105,22.58317958,8.994353437,4.309201735
512,20.40191273,22.627417,9,4.35063251
514,20.03125157,22.6715681,9.005624549,4.32418066
516,19.6468665,22.71563338,9.011227255,4.296227329
518,20.02788177,22.75961335,9.016808288,4.323937939
520,20.0764785,22.8035085,9.022367813,4.327434332
522,20.92099285,22.84731932,9.027905997,4.386879414
524,20.39299449,22.89104628,9.033423002,4.35000173
526,20.14229677,22.93468988,9.038918989,4.332156294
528,19.97537785,22.97825059,9.044394119,4.320150888
530,20.31075668,23.02172887,9.049848549,4.344172083
532,19.98555044,23.06512519,9.055282436,4.320885403
534,20.67287177,23.10844002,9.060695932,4.369666909
536,20.02636151,23.15167381,9.06608919,4.323828424
538,20.77765988,23.19482701,9.071462363,4.376961272
540,20.36054019,23.23790008,9.076815597,4.347703934
542,20.35764478,23.28089345,9.082149041,4.347498758
544,20.29393314,23.32380758,9.087462841,4.342976594
546,20.58689132,23.36664289,9.092757141,4.36365409
548,20.60185201,23.40939982,9.098032083,4.36470213
550,20.51135179,23.4520788,9.103287808,4.35835067
552,21.01259141,23.49468025,9.108524457,4.393182191
554,20.98098139,23.53720459,9.113742166,4.391010257
556,21.51345449,23.57965225,9.118941073,4.427167297
558,20.68607459,23.62202362,9.124121312,4.370587999
560,20.77954046,23.66431913,9.129283017,4.377091844
562,21.18650173,23.70653918,9.13442632,4.405073487
564,21.34629771,23.74868417,9.139551352,4.415913966
566,21.1236219,23.79075451,9.144658243,4.400785318
568,20.7389539,23.83275058,9.14974712,4.374271219
570,21.67058777,23.87467277,9.154818109,4.437666379
572,21.00382591,23.91652149,9.159871337,4.392580238
574,21.21467078,23.9582971,9.164906927,4.406990385
576,21.51169789,24,9.169925001,4.427049494
578,21.42611968,24.04163056,9.174925683,4.421298693
580,21.42974444,24.08318916,9.17990909,4.42154274
582,21.44228517,24.12467616,9.184875343,4.422386762
584,21.82422869,24.16609195,9.189824559,4.447858762
